image_name,area,centroid_x,centroid_y,eta20,eta02,eta11,eta30,eta03,eta21,eta12,h1,h2,h3,h4,h5,h6,h7,flusser_i8,h1_opencv,h2_opencv,h3_opencv,h4_opencv,h5_opencv,h6_opencv,h7_opencv
square,146880.0,31.5,31.5,0.0003262300290486565,0.0003262300290486565,0.0,0.0,0.0,0.0,0.0,0.000652460058097313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000652460058097313,0.0,0.0,0.0,0.0,0.0,0.0
horizontal_rect,97920.0,31.5,31.5,0.0008706086601307205,0.00012169798474945689,1.5540940694142052e-18,-1.5892476541547071e-19,-1.5892476541547071e-19,-1.489919675770038e-19,-1.5395836649623726e-19,0.0009923066448801773,5.608671997000203e-07,1.7475236262386481e-37,1.927085686916381e-37,3.5321336538133098e-74,2.3089962935275953e-42,1.7393632106656457e-75,-7.215151618013156e-41,0.0009923066448801773,5.608671997000202e-07,1.7475236262386481e-37,1.9270856869163806e-37,3.5321336538133082e-74,2.3089962935275793e-42,1.7393632106656477e-75
vertical_rect,97920.0,31.5,31.5,0.00012169798474945689,0.0008706086601307205,1.5540940694142052e-18,-1.5892476541547071e-19,-1.5892476541547071e-19,-1.5395836649623726e-19,-1.489919675770038e-19,0.0009923066448801773,5.608671997000203e-07,1.7475236262386481e-37,1.927085686916381e-37,3.5321336538133098e-74,2.3089962935275953e-42,-1.7393632106656457e-75,7.215151618013155e-41,0.0009923066448801773,5.608671997000202e-07,1.7475236262386481e-37,1.9270856869163806e-37,3.5321336538133082e-74,2.3089962935275793e-42,-1.7393632106656477e-75
diagonal_rect,97843.0,31.34402052267408,32.01632206698486,0.000497585558833482,0.0004975760181317901,-0.0003741848807415406,-1.6729356918195195e-09,2.2372607966129262e-10,-2.4005888968638927e-10,7.581208156243875e-10,0.000995161576965272,5.600572999932688e-07,1.6472114994768756e-17,8.371530183912304e-19,3.0578474727075655e-36,-2.2355548024776288e-23,5.601109721110059e-37,-3.130505092725684e-22,0.0009951615769652725,5.60057299993269e-07,1.6472114994768756e-17,8.371530183912304e-19,3.0578474727075655e-36,-2.2355548024776256e-23,5.601109721110061e-37
circle,112455.0,32.0,32.0,0.0003120623406833129,0.0003120623406833129,0.0,0.0,0.0,0.0,0.0,0.0006241246813666258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006241246813666259,0.0,0.0,0.0,0.0,0.0,0.0
horizontal_ellipse,127755.0,32.0,32.0,0.0006727260128875356,0.000144613125906615,0.0,0.0,0.0,0.0,0.0,0.0008173391387941506,2.7890322139532253e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0008173391387941507,2.7890322139532264e-07,0.0,0.0,0.0,0.0,0.0
vertical_ellipse,127755.0,32.0,32.0,0.000144613125906615,0.0006727260128875356,0.0,0.0,0.0,0.0,0.0,0.0008173391387941506,2.7890322139532253e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0008173391387941507,2.7890322139532264e-07,0.0,0.0,0.0,0.0,0.0
diagonal_ellipse,114750.0,31.995555555555555,32.02,0.00038541740229699567,0.0003839229242314216,0.0002243338658920372,1.4712936462086878e-08,-2.632578251362267e-08,-1.4810742679341707e-08,-3.0713921098961993e-08,0.0007693403265284172,2.013049670089546e-07,1.1745770230108386e-14,1.9482452143009065e-15,7.553866399435918e-30,5.88502209828125e-19,-5.4587185732331566e-30,-3.231680067513467e-19,0.0007693403265284172,2.013049670089545e-07,1.1745770230108386e-14,1.948245214300906e-15,7.553866399435916e-30,5.885022098281248e-19,-5.458718573233153e-30
l_shape,125460.0,29.01219512195122,31.48780487804878,0.0003325959951811205,0.0005416640232119508,0.00016830864322920432,3.337816125761063e-06,-5.713692187500762e-06,2.3642864224140933e-06,-1.572327735167593e-06,0.0008742600183930713,1.5702063788732238e-07,2.2888755242990958e-10,1.4335468236516134e-11,-3.5416647640235464e-22,-2.2872836997246005e-15,-7.408598708343731e-22,-2.599853912259277e-15,0.0008742600183930713,1.5702063788732238e-07,2.2888755242990958e-10,1.4335468236516136e-11,-3.5416647640235474e-22,-2.2872836997246005e-15,-7.408598708343732e-22
l_shape_90deg,125460.0,31.48780487804878,34.98780487804878,0.0005416640232119508,0.0003325959951811186,-0.00016830864322920622,-5.713692187500762e-06,-3.3378161257608062e-06,1.5723277351678441e-06,2.3642864224142644e-06,0.0008742600183930694,1.5702063788732572e-07,2.2888755242993072e-10,1.4335468236513197e-11,-3.541664764020523e-22,-2.2872836997231458e-15,-7.408598708342799e-22,-2.599853912258994e-15,0.0008742600183930694,1.5702063788732572e-07,2.2888755242993072e-10,1.4335468236513197e-11,-3.541664764020524e-22,-2.2872836997231458e-15,-7.4085987083428e-22
l_shape_mirror,125460.0,33.98780487804878,31.48780487804878,0.0003325959951811186,0.0005416640232119508,-0.00016830864322920432,-3.3378161257608062e-06,-5.713692187500762e-06,2.364286422413922e-06,1.57232773516747e-06,0.0008742600183930694,1.5702063788732317e-07,2.2888755242988634e-10,1.433546823651681e-11,-3.5416647640223277e-22,-2.287283699724149e-15,7.408598708344494e-22,2.5998539122595303e-15,0.0008742600183930694,1.5702063788732317e-07,2.2888755242988634e-10,1.433546823651681e-11,-3.5416647640223277e-22,-2.287283699724149e-15,7.408598708344494e-22
triangle,110415.0,32.0,37.210161662817555,0.0002464772050940714,0.0005743997172264672,1.222261013176992e-18,0.0,-7.660518009938749e-06,3.338383977103362e-06,0.0,0.0008208769223205386,1.0753317396322128e-07,3.124293078719676e-10,1.8680842597793882e-11,1.4271531324634354e-21,6.125868833418441e-15,-0.0,-2.283286560057946e-29,0.0008208769223205386,1.0753317396322128e-07,3.124293078719676e-10,1.868084259779389e-11,1.4271531324634361e-21,6.125868833418443e-15,-0.0
triangle_90deg,110415.0,37.210161662817555,32.0,0.0005743997172264672,0.0002464772050940714,0.0,-7.660518009938749e-06,0.0,2.3541270345602316e-19,3.338383977103597e-06,0.0008208769223205386,1.0753317396322128e-07,3.124293078719925e-10,1.8680842597791853e-11,1.4271531324632597e-21,6.125868833417776e-15,1.7617484140878802e-34,3.3365632165412207e-28,0.0008208769223205386,1.0753317396322128e-07,3.124293078719925e-10,1.8680842597791853e-11,1.4271531324632597e-21,6.125868833417776e-15,1.7617484140878802e-34
asymmetric,155040.0,34.55263157894737,31.5,0.0003865546984211379,0.00027284979088588345,0.0,-1.1234166873640776e-06,0.0,6.2975366665458054e-21,1.0164246219008945e-06,0.0006594044893070214,1.292880599760077e-08,1.7411346451652595e-11,1.1447302072078066e-14,5.110588264449916e-27,1.3016144236337634e-18,8.79286227771406e-40,7.661282659655873e-32,0.0006594044893070213,1.292880599760077e-08,1.7411346451652595e-11,1.1447302072078066e-14,5.110588264449916e-27,1.3016144236337634e-18,8.792862277714062e-40
star_perfect,98685.0,31.43152454780362,31.521963824289404,0.0003856117610798236,0.0003804699317339179,-9.849624857739847e-06,1.1959242333623013e-07,2.6645796655296766e-08,-6.408982174937035e-09,-1.407054055628441e-07,0.0007660816928137415,4.1449884837524394e-10,2.9555255924434575e-13,8.552866788138149e-16,8.092026930507535e-30,1.701966851995043e-20,-1.0928546266208993e-29,1.840049871286764e-21,0.0007660816928137414,4.1449884837524394e-10,2.9555255924434575e-13,8.5528667881381485e-16,8.092026930507531e-30,1.7019668519950427e-20,-1.0928546266208992e-29
heart,85170.0,28.820359281437124,36.5,0.0002652399166754976,0.0003702176485352648,0.0,-2.688278748238683e-07,0.0,1.407775783729029e-20,4.216980177238055e-07,0.0006354575652107624,1.1020324186421181e-08,2.3529164811847717e-12,2.336928059024722e-14,-5.479882804377044e-27,-2.453254071558635e-18,1.6647983583950904e-39,2.259193069202205e-31,0.0006354575652107624,1.1020324186421181e-08,2.3529164811847717e-12,2.336928059024722e-14,-5.479882804377044e-27,-2.453254071558635e-18,1.6647983583950904e-39
